"variable","n","mean","sd","median","p25","p75","min","max","range","sd_vs_median_sd","large_scale_flag"
"overall_motion",1172,1823.48894111056,6298.38736981814,1.96810852235808,0.77779785653198,5.26179279887844,0,47290.1317913456,47290.1317913456,748.500344835245,"YES"
"low_freq",1169,1738.69026247563,6010.93026658117,1.86695639063328,0.733081586791052,5.10472854460322,2.22044604925031e-16,40247.7532241821,40247.7532241821,714.338943151813,"YES"
"stimulation_motion",456,1439.17473586763,5399.12089276943,0.561563114990671,0.0417122006396415,3.81446482910007,0,34535.2245218633,34535.2245218633,641.631518158239,"YES"
"totalCues",2071,1056.81989377113,4092.76884082827,0,0,69.5,0,63958,63958,486.384642419883,"YES"
"cue_delta_var",305,615.966494649805,3437.49551897676,0.168504766569149,0.0053779171020549,1.28580037805224,0,32498.1966122566,32498.1966122566,408.51196191161,"YES"
"high_freq",1169,421.97720076116,1801.52277488374,0.222613736225929,0.150912643395865,0.414665560765892,0,38426.3278428543,38426.3278428543,214.092963651419,"YES"
"time_asleep",1216,448.927631578948,100.308444604195,450.5,375,510,0,780,780,11.9206553944132,"YES"
"age",2030,36.7413793103448,13.4714202736102,36,26,44,17,100,83,1.60094356351233,""
"wake_up_duration_min",2030,15.4137931034483,13.4112623752698,7.5,7.5,22.5,7.5,52.5,45,1.59379439897093,""
"fitbit_overall_motion",283,6.94228310973141,3.41808824100682,7.0600575264701,5.62421288253083,8.14265829717746,0,37.8948609531124,37.8948609531124,0.406205601029073,""
"fitbit_stim_motion",97,2.88133431853881,2.84798680864327,2.38800090946017,0.318925918276303,4.86483584608256,0.0287037113818303,10.6739546749498,10.645250963568,0.338454747729699,""
"highestVol",2071,0.614906219669968,2.46095339288801,0,0,0.032999996,0,35.037807,35.037807,0.292459697227757,""
"lucid_attempts_past_week",2030,1.10738916256157,1.81752451117568,0,0,2,0,7,7,0.215994609966453,""
"sleep_quality_num",2030,3.52955665024631,1.02307690250549,4,3,4,1,5,4,0.121582457437902,""
"lucid_dreams_past_week",2030,0.430049261083743,1.0167563581824,0,0,0,0,7,7,0.120831323960776,""
"arousalN",2071,0.218252052148722,0.604871556784709,0,0,0,0,2,2,0.0718829348293099,""
"wakeThresh",2072,0.020685417834942,0.217787698867429,0.015,0.01,0.015,0,9.335166,9.335166,0.0258818897809158,""
"arousal_rate",638,0.00253993938234308,0.0101409907153224,0,0,0,0,0.133333333333333,0.133333333333333,0.00120515532019571,""
